TableSize,DataSize,insertLinkedTime,searchLinkedTime,deleteLinkedTime,insertOpenedTime,searchOpenedTime,deleteOpenedTime
100,50,0.300000,0.060000,0.160000,0.360000,0.320000,0.320000
200,100,0.280000,0.040000,0.160000,0.320000,0.140000,0.140000
300,150,0.280000,0.060000,0.160000,0.220000,0.120000,0.120000
400,200,1.200000,0.060000,0.160000,0.460000,0.180000,0.160000
500,250,0.200000,0.060000,0.160000,0.220000,0.100000,0.140000
600,300,0.160000,0.060000,0.160000,0.200000,0.100000,0.100000
700,350,0.160000,0.060000,0.160000,0.280000,0.180000,0.160000
800,400,0.500000,0.120000,0.200000,0.260000,0.120000,0.120000
900,450,0.320000,0.080000,0.280000,0.640000,0.120000,0.120000
1000,500,0.200000,0.040000,0.160000,0.200000,0.140000,0.140000
1100,550,0.180000,0.060000,0.160000,0.200000,0.120000,0.120000
1200,600,0.200000,0.040000,0.180000,0.180000,0.100000,0.100000
1300,650,0.340000,0.080000,0.220000,0.200000,0.120000,0.100000
1400,700,0.180000,0.060000,0.160000,0.180000,0.100000,0.100000
1500,750,0.180000,0.040000,0.160000,0.200000,0.120000,0.120000
1600,800,0.180000,0.040000,0.160000,0.220000,0.120000,0.120000
1700,850,0.160000,0.040000,0.160000,0.240000,0.100000,0.100000
1800,900,0.160000,0.040000,0.160000,0.240000,0.120000,0.120000
1900,950,0.180000,0.060000,0.160000,0.180000,0.100000,0.100000
2000,1000,0.160000,0.060000,0.160000,0.180000,0.080000,0.080000
2100,1050,0.180000,0.060000,0.160000,0.220000,0.120000,0.120000
2200,1100,0.160000,0.040000,0.160000,0.180000,0.100000,0.100000
2300,1150,0.160000,0.040000,0.160000,0.200000,0.120000,0.120000
2400,1200,0.160000,0.060000,0.160000,0.220000,0.100000,0.100000
2500,1250,0.180000,0.060000,0.160000,0.180000,0.100000,0.080000
2600,1300,0.160000,0.040000,0.160000,0.180000,0.100000,0.100000
2700,1350,0.180000,0.040000,0.160000,0.200000,0.100000,0.100000
2800,1400,0.160000,0.060000,0.160000,0.200000,0.100000,0.100000
2900,1450,0.160000,0.060000,0.220000,0.200000,0.120000,0.120000
3000,1500,0.160000,0.040000,0.160000,0.200000,0.080000,0.080000
3100,1550,0.160000,0.060000,0.160000,0.180000,0.080000,0.080000
3200,1600,0.160000,0.040000,0.160000,0.220000,0.120000,0.120000
3300,1650,0.160000,0.040000,0.160000,0.200000,0.120000,0.120000
3400,1700,0.180000,0.040000,0.160000,0.180000,0.080000,0.080000
3500,1750,0.160000,0.040000,0.160000,0.180000,0.100000,0.100000
3600,1800,0.160000,0.040000,0.160000,0.200000,0.100000,0.100000
3700,1850,0.160000,0.040000,0.160000,0.180000,0.080000,0.080000
3800,1900,0.160000,0.040000,0.160000,0.280000,0.120000,0.120000
3900,1950,0.200000,0.060000,0.160000,0.180000,0.120000,0.120000
4000,2000,0.180000,0.040000,0.160000,0.200000,0.100000,0.100000
4100,2050,0.160000,0.040000,0.160000,0.200000,0.100000,0.100000
4200,2100,0.180000,0.060000,0.160000,0.180000,0.100000,0.080000
4300,2150,0.160000,0.060000,0.160000,0.180000,0.100000,0.100000
4400,2200,0.200000,0.060000,0.160000,0.200000,0.100000,0.100000
4500,2250,0.160000,0.040000,0.160000,0.180000,0.080000,0.080000
4600,2300,0.160000,0.080000,0.160000,0.200000,0.100000,0.100000
4700,2350,1.260000,0.060000,0.160000,0.200000,0.100000,0.100000
4800,2400,0.160000,0.060000,0.160000,0.200000,0.120000,0.120000
4900,2450,0.180000,0.060000,0.160000,0.200000,0.100000,0.100000
5000,2500,0.200000,0.060000,0.160000,0.200000,0.080000,0.080000
5100,2550,0.160000,0.040000,0.160000,0.200000,0.100000,0.100000
