TableSize,DataSize,insertStdMap,searchStdMap,deleteStdMap,insertStdHashMap,searchStdHashMap,deleteStdHashMap,insertChained,searchChained,deleteChained,attemptsChained,insertOpened_linear,searchOpened_linear,deleteOpened_linear,attemptsOpened_linear,insertOpened_quadratic,searchOpened_quadratic,deleteOpened_quadratic,attemptsOpened_quadratic,insertOpened_double,searchOpened_double,deleteOpened_double,attemptsOpened_double,insertCuckoo,searchCuckoo,deleteCuckoo,attemptsCuckoo
1000,500,2.766667,1.400000,2.433333,13.533334,0.566667,0.866667,0.600000,0.100000,0.433333,0.933333,1.300000,0.766667,0.733333,1.933333,1.766667,0.666667,0.666667,0.900000,1.733333,1.166667,1.133333,1.100000,0.933333,0.266667,0.233333,0.033333
2000,1000,2.466667,0.966667,1.833333,1.066667,0.400000,0.466667,0.200000,0.066667,0.200000,0.722222,0.666667,0.433333,0.800000,1.566667,0.666667,0.533333,0.500000,1.233333,0.833333,0.700000,0.666667,0.866667,0.333333,0.100000,0.166667,0.000000
3000,1500,2.433333,1.033333,1.800000,0.900000,0.333333,0.366667,0.233333,0.066667,0.166667,0.966667,1.000000,1.300000,0.600000,1.933333,0.800000,0.533333,0.533333,1.300000,0.700000,0.600000,0.566667,0.766667,0.233333,0.100000,0.133333,0.000000
4000,2000,1.566667,0.833333,1.533333,2.300000,0.333333,0.366667,0.233333,0.066667,0.166667,0.866667,0.566667,0.400000,0.433333,1.700000,0.500000,0.500000,0.333333,0.633333,0.866667,0.700000,0.666667,0.933333,1.400000,0.400000,1.233333,0.011111
5000,2500,1.466667,0.833333,1.533333,0.900000,0.300000,0.333333,0.166667,0.066667,0.166667,0.666667,0.400000,0.266667,0.266667,0.933333,0.600000,0.400000,0.400000,0.966667,0.866667,0.733333,0.600000,0.766667,0.300000,0.100000,0.166667,0.011111
6000,3000,3.133333,0.866667,1.600000,0.833333,0.300000,0.333333,0.166667,0.066667,0.166667,0.822222,0.500000,0.366667,0.400000,1.766667,0.600000,0.466667,0.466667,1.366667,1.566667,0.800000,0.766667,1.366667,0.300000,0.100000,0.200000,0.000000
7000,3500,1.666667,0.866667,1.600000,0.933333,0.300000,0.366667,0.166667,0.066667,0.166667,0.600000,0.500000,0.366667,0.366667,1.700000,0.566667,0.466667,0.466667,1.255556,2.166667,0.766667,0.700000,1.066667,0.433333,0.100000,0.233333,0.000000
8000,4000,7.666667,2.366667,3.400000,0.866667,0.300000,0.333333,0.333333,0.066667,0.233333,0.833333,0.700000,0.433333,0.400000,0.766667,0.833333,0.500000,0.500000,1.400000,0.833333,0.666667,0.633333,0.800000,0.600000,0.100000,0.166667,0.000000
9000,4500,1.700000,0.866667,84.466667,1.966667,0.433333,0.466667,0.166667,0.066667,0.166667,0.566667,0.500000,0.333333,0.300000,1.266667,0.766667,0.533333,0.500000,1.066667,0.866667,0.700000,0.700000,1.133333,0.266667,0.100000,0.133333,0.000000
10000,5000,1.500000,0.900000,1.633333,0.833333,0.300000,0.333333,0.166667,0.066667,0.166667,0.600000,0.466667,0.366667,0.333333,1.466667,0.466667,0.366667,0.366667,0.700000,0.633333,0.533333,0.533333,0.600000,0.300000,0.100000,0.200000,0.000000
11000,5500,1.533333,0.900000,1.633333,0.833333,0.300000,0.333333,0.166667,0.066667,0.166667,0.833333,0.400000,0.266667,0.266667,0.966667,0.566667,0.433333,0.433333,1.200000,0.833333,0.700000,0.700000,1.100000,0.266667,0.100000,0.133333,0.000000
12000,6000,1.500000,0.866667,1.633333,0.833333,0.300000,0.333333,0.166667,0.066667,0.166667,0.700000,0.400000,0.300000,0.300000,1.033333,0.566667,0.433333,0.433333,1.111111,1.000000,0.833333,0.833333,1.566667,0.333333,0.166667,0.166667,0.000000
13000,6500,1.600000,0.900000,1.733333,0.933333,0.333333,0.433333,0.166667,0.066667,0.166667,0.700000,0.400000,0.266667,0.266667,0.900000,0.566667,0.400000,0.366667,0.900000,0.800000,0.633333,0.633333,0.900000,0.300000,0.100000,0.166667,0.000000
14000,7000,1.566667,0.900000,1.666667,0.866667,0.300000,0.333333,0.166667,0.066667,0.166667,0.633333,0.400000,0.300000,0.266667,0.955556,0.600000,0.500000,0.500000,1.400000,0.700000,0.533333,0.533333,0.622222,0.333333,0.100000,0.200000,0.000000
15000,7500,1.533333,0.900000,1.700000,0.833333,0.300000,0.333333,0.166667,0.066667,0.166667,0.800000,0.366667,0.266667,0.266667,0.800000,0.533333,0.400000,0.400000,0.966667,0.833333,0.700000,0.700000,1.155556,0.300000,0.100000,0.166667,0.000000
16000,8000,1.566667,0.900000,1.633333,0.833333,0.300000,0.366667,0.166667,0.066667,0.166667,0.666667,0.366667,0.266667,0.233333,0.766667,0.533333,0.433333,0.433333,1.055556,0.666667,0.533333,0.533333,0.666667,0.300000,0.066667,0.200000,0.000000
17000,8500,1.700000,0.933333,1.733333,0.900000,0.333333,0.366667,0.200000,0.066667,0.166667,0.833333,0.433333,0.300000,0.266667,1.000000,0.366667,0.266667,0.266667,0.233333,0.666667,0.533333,0.533333,0.633333,0.333333,0.100000,0.166667,0.011111
18000,9000,1.600000,0.900000,1.766667,0.766667,0.300000,0.333333,0.166667,0.066667,0.166667,0.700000,0.300000,0.200000,0.200000,0.377778,0.433333,0.300000,0.300000,0.477778,0.700000,0.566667,0.566667,0.766667,0.333333,0.100000,0.166667,0.000000
19000,9500,1.500000,0.900000,1.800000,0.800000,0.300000,0.400000,0.166667,0.066667,0.166667,0.633333,0.400000,0.266667,0.266667,1.033333,0.500000,0.366667,0.366667,0.800000,0.633333,0.533333,0.533333,0.600000,0.300000,0.100000,0.200000,0.000000
20000,10000,1.500000,0.900000,1.666667,0.766667,0.300000,0.333333,0.166667,0.066667,0.166667,0.666667,0.466667,0.366667,0.366667,1.411111,0.533333,0.400000,0.400000,0.877778,0.733333,0.600000,0.600000,0.800000,0.333333,0.100000,0.200000,0.000000
