TableSize,DataSize,insertStdMap,searchStdMap,deleteStdMap,insertStdHashMap,searchStdHashMap,deleteStdHashMap,insertChained,searchChained,deleteChained,attemptsChained,insertOpened_quadratic,searchOpened_quadratic,deleteOpened_quadratic,attemptsOpened_quadratic,insertOpened_double,searchOpened_double,deleteOpened_double,attemptsOpened_double
100,50,4.600000,1.800000,3.900000,4.533333,0.633333,1.266667,3.133333,4.500000,4.233333,0.933333,4.800000,9.900000,8.466666,1.800000,7.366667,12.200000,10.333333,2.466667
200,100,5.166667,2.000000,4.166667,3.000000,0.633333,1.233333,2.833333,4.600000,4.033333,0.900000,4.100000,5.666667,4.866667,0.800000,4.233333,7.433333,6.800000,1.300000
300,150,13.400000,3.800000,7.833333,3.800000,0.766667,1.633333,2.766667,4.233333,4.066667,0.811111,3.966667,9.833333,13.566667,1.166667,5.033333,9.933333,10.333333,1.100000
400,200,5.066667,2.133333,4.666667,3.033333,0.633333,1.266667,2.866667,4.200000,3.966667,0.744444,3.433333,6.366667,5.466667,0.966667,4.600000,8.100000,7.466667,1.333333
500,250,5.133333,2.600000,4.700000,3.600000,0.666667,1.466667,2.833333,4.133333,3.933333,0.855556,4.033333,7.633333,6.766667,1.600000,3.900000,6.666667,5.833333,0.966667
600,300,4.900000,2.166667,4.800000,3.033333,0.700000,1.300000,2.666667,3.933333,3.866667,0.666667,3.100000,5.766667,4.800000,0.766667,4.533333,5.900000,4.833333,0.633333
700,350,5.800000,2.533333,5.200000,4.000000,0.733333,1.433333,3.633333,5.433333,4.900000,1.000000,4.333333,8.100000,7.000000,1.233333,3.900000,6.366667,5.433333,0.866667
800,400,5.266667,2.333333,4.900000,3.166667,0.666667,1.300000,2.700000,4.166667,3.966667,0.700000,3.733333,6.800000,5.900000,1.133333,3.866667,6.700000,5.800000,0.900000
900,450,6.000000,2.866667,5.233333,3.700000,0.766667,1.466667,2.766667,4.300000,4.100000,0.700000,4.300000,7.766667,6.866667,1.366667,3.900000,6.733333,5.766667,0.866667
1000,500,5.033333,2.366667,5.000000,8.700000,0.666667,1.266667,2.833333,4.200000,4.000000,0.855556,3.900000,7.233333,6.333333,1.200000,4.433333,7.966667,7.066667,1.433333
1100,550,5.066667,2.366667,5.000000,3.066667,0.666667,1.300000,2.666667,4.100000,3.900000,0.733333,3.566667,6.533333,5.633333,1.133333,4.233333,6.800000,5.866667,1.033333
1200,600,5.133333,2.366667,5.033333,3.266667,0.700000,1.333333,3.066667,4.566667,4.366667,0.933333,4.200000,7.800000,6.866667,1.300000,3.833333,6.800000,5.900000,1.000000
1300,650,5.200000,2.366667,4.933333,3.166667,0.666667,1.333333,2.800000,4.300000,4.133333,0.733333,4.166667,7.733333,6.833333,1.433333,3.933333,6.866667,5.933333,0.966667
1400,700,5.200000,2.433333,5.166667,3.200000,0.666667,1.366667,3.166667,4.700000,4.433333,0.855556,4.433333,8.133333,7.133333,1.333333,4.000000,6.900000,5.900000,0.833333
1500,750,5.200000,2.466667,5.266667,2.933333,0.666667,1.233333,2.600000,3.900000,3.733333,0.866667,3.300000,6.200000,5.400000,1.166667,3.466667,5.466667,4.633333,0.733333
1600,800,5.233333,2.500000,5.266667,3.133333,0.666667,1.300000,3.166667,4.666667,4.466667,1.000000,3.700000,6.666667,5.766667,1.033333,4.366667,7.666667,6.733333,1.233333
1700,850,5.200000,2.433333,5.166667,3.200000,0.700000,1.333333,2.833333,4.300000,4.133333,0.800000,3.633333,6.633333,5.700000,1.033333,4.733333,8.600000,7.666667,1.533333
1800,900,5.133333,2.533333,5.300000,3.066667,0.700000,1.300000,2.533333,3.933333,3.800000,0.700000,5.166667,7.466667,6.633333,1.433333,3.900000,6.800000,5.933333,1.033333
1900,950,5.200000,2.433333,5.433333,3.133333,0.733333,1.366667,2.800000,4.300000,4.066667,0.822222,4.000000,7.533333,6.633333,1.400000,3.800000,6.666667,5.733333,0.933333
2000,1000,5.266667,2.533333,5.400000,14.600000,0.666667,1.333333,2.933333,4.400000,4.233333,0.833333,4.566667,8.466666,7.533333,1.666667,4.800000,8.466666,7.500000,1.333333
2100,1050,5.300000,2.566667,5.366667,3.300000,0.666667,1.333333,3.100000,5.700000,4.366667,0.900000,3.733333,6.600000,5.600000,1.000000,4.000000,6.900000,5.966667,0.966667
2200,1100,5.366667,2.533333,5.433333,3.166667,0.666667,1.333333,3.300000,4.766667,4.566667,0.900000,4.266667,7.900000,6.933333,1.300000,4.266667,7.500000,6.533333,1.100000
2300,1150,5.200000,2.566667,5.466667,3.100000,0.700000,1.300000,2.933333,4.166667,3.966667,0.800000,3.433333,6.200000,5.333333,0.966667,3.866667,6.833333,5.900000,1.066667
2400,1200,5.800000,2.666667,5.733333,3.466667,0.733333,1.400000,2.833333,4.233333,4.066667,0.900000,3.533333,6.600000,5.733333,1.166667,3.433333,6.033333,5.133333,0.833333
2500,1250,5.366667,2.666667,5.400000,3.100000,0.666667,1.300000,2.733333,4.166667,4.000000,0.800000,3.333333,6.200000,5.266667,1.033333,3.700000,6.533333,5.633333,1.000000
2600,1300,5.300000,2.600000,5.666667,3.266667,0.700000,1.333333,2.500000,3.900000,3.766667,0.700000,4.033333,7.666667,6.800000,1.633333,3.300000,7.066667,4.800000,0.700000
2700,1350,5.466667,2.633333,5.600000,3.166667,0.666667,1.333333,3.233333,4.733333,4.533333,0.966667,4.166667,7.633333,8.500000,1.300000,4.633333,8.066667,7.133333,1.333333
2800,1400,5.266667,2.600000,5.566667,3.100000,0.700000,1.333333,3.200000,4.600000,4.433333,1.033333,4.433333,8.266666,7.366667,1.633333,3.633333,6.266667,5.366667,0.833333
2900,1450,5.500000,2.700000,5.600000,3.166667,0.700000,1.366667,2.766667,4.266667,4.100000,0.733333,3.466667,6.200000,5.233333,0.800000,3.900000,6.733333,5.833333,0.866667
3000,1500,5.933333,2.766667,5.800000,3.600000,0.766667,1.433333,3.366667,5.000000,4.733333,0.833333,3.666667,6.733333,5.800000,1.066667,6.433333,7.800000,6.866667,1.200000
3100,1550,6.433333,2.966667,6.100000,3.700000,0.733333,1.466667,3.600000,5.133333,4.933333,1.033333,4.800000,8.800000,7.800000,1.500000,4.100000,7.066667,6.100000,0.866667
3200,1600,5.366667,2.666667,5.600000,3.066667,0.666667,1.266667,2.933333,4.366667,4.200000,1.000000,3.866667,7.600000,6.366667,1.433333,3.800000,6.733333,5.866667,1.100000
3300,1650,5.433333,2.700000,5.633333,3.133333,0.666667,1.333333,2.333333,3.800000,3.600000,0.433333,2.800000,4.833333,3.866667,0.333333,3.566667,6.033333,5.066667,0.666667
3400,1700,5.300000,2.600000,5.566667,3.066667,0.700000,1.300000,2.700000,4.066667,3.900000,0.866667,3.533333,6.700000,5.833333,1.300000,3.800000,6.666667,5.800000,1.100000
3500,1750,5.300000,2.666667,5.633333,3.100000,0.666667,1.266667,2.700000,4.066667,3.900000,0.800000,3.200000,5.800000,5.133333,0.833333,3.400000,5.933333,5.000000,0.766667
3600,1800,6.100000,2.900000,6.066667,3.266667,0.700000,1.366667,2.766667,4.233333,4.033333,0.700000,4.533333,8.300000,7.266667,1.266667,4.433333,7.733333,6.533333,0.933333
3700,1850,5.500000,2.666667,5.666667,3.133333,0.666667,1.300000,2.633333,4.033333,3.833333,0.722222,3.500000,6.266667,5.366667,1.000000,4.033333,7.033333,6.133333,1.066667
3800,1900,5.466667,2.733333,5.800000,3.200000,0.700000,1.333333,2.500000,3.933333,3.733333,0.633333,7.033333,5.766667,4.866667,0.733333,3.766667,6.433333,5.533333,0.866667
3900,1950,5.433333,2.733333,5.866667,3.166667,0.700000,1.333333,3.200000,4.866667,4.600000,0.833333,3.800000,6.966667,6.000000,1.166667,4.133333,7.033333,6.066667,1.033333
4000,2000,5.566667,2.833333,5.633333,3.266667,0.733333,1.366667,3.300000,4.733333,4.533333,1.166667,3.966667,7.266667,6.366667,1.333333,3.600000,6.166667,5.300000,0.833333
4100,2050,5.866667,2.866667,6.233333,3.500000,0.733333,1.366667,2.800000,4.233333,4.066667,0.866667,3.266667,5.933333,5.066667,0.900000,3.733333,6.400000,5.466667,0.866667
4200,2100,5.333333,2.700000,5.733333,2.966667,0.633333,1.233333,2.900000,4.266667,4.100000,1.033333,3.733333,7.066667,6.233333,1.400000,4.700000,8.666667,7.833333,1.833333
4300,2150,5.400000,2.700000,5.800000,3.100000,0.700000,1.333333,2.700000,4.200000,4.033333,0.666667,4.066667,7.333333,6.400000,1.200000,3.666667,6.200000,5.266667,0.700000
4400,2200,5.500000,2.733333,5.800000,3.100000,0.666667,1.333333,2.833333,4.366667,4.166667,0.733333,5.133333,8.600000,7.400000,1.200000,3.366667,5.600000,5.500000,0.466667
4500,2250,5.466667,2.700000,5.700000,3.533333,0.700000,1.366667,3.133333,4.633333,4.433333,1.000000,4.033333,7.300000,6.333333,1.266667,4.633333,8.066667,7.100000,1.433333
4600,2300,5.400000,2.700000,5.800000,3.000000,0.666667,1.300000,2.800000,4.200000,4.033333,0.866667,3.166667,5.700000,4.833333,0.800000,3.966667,7.033333,6.133333,1.166667
4700,2350,5.433333,2.700000,5.900000,3.033333,0.666667,1.266667,2.733333,4.166667,3.900000,0.800000,3.400000,6.233333,5.366667,1.066667,3.133333,5.333333,4.433333,0.566667
4800,2400,5.466667,2.733333,5.833333,3.166667,0.666667,1.300000,2.666667,4.133333,3.966667,0.733333,3.566667,6.466667,5.533333,0.966667,4.133333,7.200000,6.300000,1.066667
4900,2450,6.166667,3.066667,6.066667,3.100000,0.666667,1.300000,2.400000,3.900000,3.700000,0.500000,5.666667,6.133333,5.166667,0.800000,3.233333,5.500000,4.566667,0.566667
5000,2500,5.566667,2.833333,5.900000,3.133333,0.666667,1.300000,2.700000,4.166667,3.966667,0.733333,3.366667,5.833333,4.933333,0.800000,4.133333,7.200000,6.300000,1.133333
5100,2550,5.500000,2.800000,6.500000,3.133333,0.666667,1.300000,2.700000,4.133333,3.966667,0.800000,3.400000,6.233333,5.333333,1.000000,4.400000,7.766667,6.866667,1.433333
5200,2600,5.700000,2.766667,5.933333,3.066667,0.666667,1.300000,3.000000,4.566667,4.333333,0.800000,3.233333,5.866667,5.000000,0.833333,3.333333,5.733333,4.833333,0.733333
5300,2650,5.633333,2.866667,5.900000,3.133333,0.666667,1.300000,2.600000,4.066667,3.866667,0.666667,7.000000,5.833333,4.900000,0.766667,3.266667,5.633333,4.666667,0.633333
5400,2700,6.733333,3.100000,6.500000,3.300000,0.733333,1.433333,3.166667,4.933333,4.633333,0.666667,4.166667,7.433333,6.200000,0.900000,4.166667,6.966667,5.933333,0.833333
5500,2750,5.533333,2.766667,6.000000,3.566667,0.700000,1.400000,3.033333,4.666667,4.433333,0.733333,3.866667,7.100000,6.166667,1.166667,5.500000,6.833333,5.900000,1.033333
5600,2800,5.566667,2.833333,5.800000,3.100000,0.700000,1.300000,2.566667,3.966667,3.800000,0.766667,3.566667,6.500000,5.466667,0.800000,3.733333,6.533333,5.666667,1.066667
5700,2850,5.666667,2.933333,5.900000,3.066667,0.666667,1.266667,2.633333,4.066667,3.900000,0.733333,3.633333,6.600000,5.733333,1.033333,3.566667,6.100000,5.233333,0.766667
5800,2900,5.566667,2.866667,6.033333,3.033333,0.700000,1.300000,2.766667,4.200000,4.000000,0.866667,3.666667,6.633333,5.733333,1.133333,3.733333,6.500000,5.566667,0.900000
5900,2950,7.400000,3.133333,6.433333,4.100000,0.700000,1.300000,2.533333,3.866667,3.700000,0.766667,3.133333,5.700000,4.833333,0.900000,4.066667,7.300000,6.433333,1.300000
6000,3000,5.566667,2.900000,6.233333,3.100000,0.700000,1.300000,2.633333,4.066667,3.866667,0.833333,3.700000,6.833333,6.600000,1.233333,3.800000,6.666667,5.800000,1.033333
6100,3050,5.566667,2.866667,5.933333,3.133333,0.700000,1.333333,2.633333,4.066667,3.900000,0.700000,3.300000,5.866667,4.966667,0.766667,3.400000,5.800000,4.933333,0.633333
6200,3100,5.466667,2.800000,5.900000,3.533333,0.766667,1.400000,2.900000,4.466667,4.233333,0.733333,3.366667,6.266667,5.366667,1.066667,4.566667,8.133333,7.133333,1.266667
6300,3150,5.633333,2.900000,6.100000,3.166667,0.700000,1.366667,2.700000,4.200000,4.000000,0.666667,3.400000,6.033333,5.100000,0.766667,3.900000,6.666667,5.566667,0.633333
6400,3200,5.766667,3.000000,6.066667,3.100000,0.666667,1.300000,2.900000,4.433333,4.233333,0.833333,3.700000,6.733333,5.800000,0.966667,4.133333,7.300000,6.366667,1.100000
6500,3250,5.966667,2.933333,5.933333,3.100000,0.666667,1.300000,2.733333,4.200000,4.033333,0.700000,4.033333,7.300000,6.400000,1.200000,4.366667,7.600000,6.566667,0.900000
6600,3300,6.266667,3.100000,6.433333,3.200000,0.700000,1.333333,2.500000,3.966667,3.800000,0.633333,3.266667,5.866667,4.900000,0.766667,3.433333,5.366667,4.400000,0.500000
6700,3350,5.566667,2.833333,6.100000,3.666667,0.733333,1.433333,3.033333,4.566667,4.266667,0.666667,3.633333,6.566667,5.600000,1.000000,4.633333,8.266666,7.133333,1.200000
6800,3400,5.700000,2.866667,6.300000,3.200000,0.700000,1.366667,3.166667,4.833333,4.600000,0.766667,3.866667,6.933333,5.966667,1.033333,4.100000,7.100000,6.000000,0.833333
6900,3450,5.533333,2.833333,5.900000,3.100000,0.700000,1.266667,2.666667,4.066667,3.866667,0.833333,3.566667,6.700000,5.833333,1.333333,12.266666,5.933333,5.033333,0.866667
7000,3500,5.533333,2.866667,6.600000,3.066667,0.733333,1.300000,3.166667,4.466667,4.133333,0.766667,6.700000,5.366667,4.433333,0.733333,3.300000,5.800000,4.933333,0.800000
7100,3550,9.833333,4.666667,10.266666,3.066667,0.666667,1.333333,2.633333,3.966667,3.833333,0.833333,3.433333,6.333333,5.466667,1.100000,3.700000,6.466667,5.600000,0.966667
7200,3600,5.600000,2.966667,6.233333,3.133333,0.733333,1.333333,3.000000,4.400000,4.233333,1.033333,3.400000,6.233333,5.366667,0.966667,4.033333,7.166667,6.266667,1.133333
7300,3650,5.633333,2.933333,6.200000,3.166667,0.733333,1.366667,2.666667,4.100000,3.933333,0.766667,3.566667,6.433333,5.500000,1.000000,5.300000,9.433333,8.400000,1.500000
7400,3700,6.266667,3.133333,6.366667,3.133333,0.733333,1.333333,2.833333,4.433333,4.200000,0.666667,3.300000,5.866667,5.000000,0.800000,4.200000,7.300000,6.266667,0.866667
7500,3750,5.600000,2.866667,6.000000,3.733333,0.666667,1.300000,2.666667,4.133333,3.933333,0.766667,3.400000,6.066667,5.133333,0.800000,6.866667,5.500000,4.600000,0.566667
7600,3800,6.300000,3.166667,6.600000,3.533333,0.733333,1.400000,2.633333,4.100000,3.900000,0.766667,3.066667,5.500000,4.633333,0.766667,4.100000,7.300000,6.366667,1.266667
7700,3850,5.733333,3.100000,6.133333,3.166667,0.700000,1.300000,2.666667,4.066667,3.900000,0.800000,3.466667,6.300000,5.433333,1.000000,4.066667,7.066667,6.133333,1.066667
7800,3900,5.733333,3.000000,6.133333,3.166667,0.700000,1.333333,2.733333,4.166667,4.633333,0.800000,3.800000,7.066667,6.133333,1.300000,4.166667,7.866667,6.833333,1.033333
7900,3950,6.800000,3.200000,6.500000,3.266667,0.700000,1.366667,3.666667,4.466667,4.333333,0.866667,4.566667,8.366667,7.400000,1.700000,4.166667,7.266667,6.300000,1.100000
8000,4000,6.200000,3.066667,6.566667,3.200000,0.700000,1.300000,2.566667,3.966667,3.800000,0.700000,3.366667,5.966667,5.033333,0.833333,5.033333,9.000000,7.933333,1.633333
8100,4050,5.600000,2.833333,6.266667,3.133333,0.666667,1.300000,3.366667,4.266667,4.100000,0.866667,3.166667,5.700000,4.766667,0.766667,4.100000,7.266667,6.333333,1.200000
8200,4100,5.566667,2.866667,6.166667,3.133333,0.700000,1.333333,2.800000,4.300000,4.100000,0.766667,3.900000,7.000000,6.033333,1.100000,4.200000,7.300000,6.333333,1.133333
8300,4150,5.633333,2.900000,7.066667,3.200000,0.666667,1.333333,2.833333,4.400000,4.200000,0.733333,3.966667,7.066667,6.100000,1.033333,4.566667,7.933333,6.966667,1.200000
8400,4200,5.600000,2.966667,6.133333,3.033333,0.633333,1.233333,2.900000,4.300000,4.133333,0.966667,3.533333,6.400000,5.500000,1.033333,3.766667,6.600000,5.700000,1.033333
8500,4250,5.666667,2.933333,6.200000,3.100000,0.666667,1.300000,2.900000,4.366667,4.166667,0.900000,3.600000,6.466667,5.566667,1.000000,4.266667,7.466667,6.533333,1.233333
