TableSize,DataSize,insertStdMap,searchStdMap,deleteStdMap,insertStdHashMap,searchStdHashMap,deleteStdHashMap,insertChained,searchChained,deleteChained,attemptsChained,insertOpened_linear,searchOpened_linear,deleteOpened_linear,insertOpened_quadratic,searchOpened_quadratic,deleteOpened_quadratic,attemptsOpened_quadratic,insertOpened_double,searchOpened_double,deleteOpened_double,attemptsOpened_double,insertCuckoo,searchCuckoo,deleteCuckoo,attemptsCuckoo
1000,250,5.966667,2.266667,5.166667,6.066667,1.133333,2.366667,6.100000,4.433333,4.166667,0.566667,4.033333,5.600000,4.466667,3.500000,5.133333,4.033333,0.266667,3.700000,5.133333,4.233333,0.400000,3.733333,3.766667,2.700000,0.000000
2000,500,7.700000,2.800000,5.833333,14.366667,0.733333,1.300000,2.466667,4.600000,4.033333,0.533333,3.566667,5.266667,4.466667,3.766667,6.400000,6.800000,0.500000,4.433333,6.166667,5.666667,0.333333,3.600000,2.966667,2.500000,0.000000
3000,750,5.833333,2.666667,5.300000,3.266667,0.700000,1.366667,2.566667,4.033333,3.933333,0.500000,3.100000,4.600000,3.700000,3.900000,6.700000,4.333333,0.233333,3.233333,8.533334,4.400000,0.166667,4.200000,3.300000,2.766667,0.000000
4000,1000,5.400000,2.600000,5.533333,15.966666,0.700000,1.333333,3.633333,6.000000,5.333333,0.500000,3.333333,5.166667,3.933333,3.433333,5.100000,3.966667,0.266667,3.533333,5.233333,4.133333,0.233333,4.300000,3.533333,2.933333,0.000000
5000,1250,5.900000,2.800000,5.733333,5.600000,1.166667,2.200000,2.800000,4.833333,5.566667,0.600000,3.300000,5.333333,4.266667,3.700000,5.300000,4.266667,0.400000,3.600000,5.566667,4.166667,0.300000,3.666667,3.300000,2.666667,0.000000
6000,1500,7.800000,2.866667,6.033333,3.766667,0.733333,1.500000,3.400000,5.000000,4.733333,0.800000,4.500000,6.166667,5.066667,5.800000,8.500000,5.333333,0.600000,5.266667,6.666667,5.966667,0.600000,6.666667,3.833333,3.233333,0.000000
7000,1750,6.000000,2.766667,6.000000,5.966667,1.066667,1.500000,2.500000,3.866667,3.700000,0.600000,3.100000,4.433333,3.900000,4.300000,6.833333,4.166667,0.333333,3.700000,5.266667,4.233333,0.300000,3.633333,3.100000,2.433333,0.000000
8000,2000,6.300000,2.800000,5.666667,3.366667,0.733333,1.400000,3.300000,4.766667,5.266667,0.733333,3.766667,5.166667,4.300000,9.833333,12.100000,9.033334,0.533333,8.900000,5.400000,4.400000,0.433333,5.866667,6.100000,3.300000,0.000000
9000,2250,5.933333,2.833333,5.800000,4.633333,0.733333,1.500000,2.733333,4.266667,4.066667,0.666667,3.500000,5.033333,4.066667,3.966667,5.300000,4.300000,0.466667,18.966667,6.000000,5.033333,0.633333,3.600000,3.200000,2.800000,0.000000
10000,2500,9.600000,2.933333,6.866667,3.100000,0.666667,1.300000,3.266667,4.566667,4.266667,0.633333,3.600000,5.133333,4.100000,5.600000,7.100000,5.166667,0.500000,3.466667,4.900000,3.966667,0.333333,5.766667,3.066667,2.600000,0.000000
11000,2750,5.700000,2.766667,5.966667,3.033333,0.666667,1.300000,2.533333,4.466667,3.800000,0.566667,3.266667,4.833333,3.866667,3.366667,4.766667,3.833333,0.300000,3.533333,4.966667,4.033333,0.333333,3.400000,3.033333,2.500000,0.000000
12000,3000,5.633333,2.866667,5.933333,3.166667,0.666667,1.333333,3.100000,4.100000,3.966667,0.633333,3.633333,5.133333,4.166667,3.966667,5.366667,4.466667,0.533333,3.333333,4.833333,3.866667,0.266667,3.400000,3.000000,2.533333,0.000000
13000,3250,5.800000,2.833333,6.133333,3.266667,0.700000,1.400000,2.766667,4.366667,4.133333,0.633333,4.033333,5.566667,4.533333,3.833333,5.333333,4.333333,0.433333,6.100000,5.300000,4.233333,0.300000,3.800000,3.266667,2.800000,0.000000
14000,3500,5.800000,2.866667,6.066667,3.266667,0.733333,1.400000,2.500000,4.000000,3.800000,0.466667,3.366667,4.866667,3.866667,3.033333,4.566667,3.566667,0.200000,3.400000,4.933333,3.966667,0.233333,3.666667,3.233333,2.733333,0.000000
15000,3750,5.866667,2.933333,6.200000,3.300000,0.700000,1.366667,2.566667,4.100000,3.833333,0.633333,3.900000,5.300000,4.366667,3.233333,4.600000,3.700000,0.333333,3.900000,5.300000,4.400000,0.500000,3.466667,3.033333,2.600000,0.000000
16000,4000,5.833333,3.033333,6.600000,7.600000,1.366667,2.933333,2.833333,4.166667,4.000000,0.900000,4.600000,5.966667,5.133333,4.733333,5.900000,5.000000,0.900000,4.066667,5.366667,4.466667,0.600000,3.266667,2.833333,2.400000,0.000000
17000,4250,7.133333,3.333333,6.666667,3.733333,0.733333,1.433333,3.333333,4.466667,4.466667,0.633333,6.666667,7.000000,7.733333,4.366667,5.833333,6.033333,0.666667,4.066667,5.733333,4.666667,0.300000,4.233333,3.333333,2.833333,0.000000
18000,4500,6.466667,2.966667,6.600000,3.333333,0.700000,1.333333,2.900000,4.333333,4.133333,0.733333,4.366667,5.666667,4.700000,4.100000,5.466667,4.533333,0.566667,5.833333,5.466667,4.466667,0.466667,3.700000,3.233333,2.700000,0.000000
19000,4750,5.566667,2.900000,6.200000,3.100000,0.700000,1.300000,2.300000,3.700000,3.633333,0.566667,2.933333,4.333333,3.433333,2.966667,4.300000,3.466667,0.300000,3.100000,4.466667,3.600000,0.266667,5.366667,2.933333,2.433333,0.000000
20000,5000,5.800000,2.966667,6.200000,3.066667,0.633333,1.266667,2.433333,3.866667,3.700000,0.633333,3.300000,4.733333,3.833333,3.400000,4.800000,3.800000,0.433333,3.466667,4.866667,3.933333,0.400000,3.200000,2.900000,2.400000,0.000000
21000,5250,6.233333,3.100000,6.433333,3.300000,0.700000,1.366667,2.766667,4.333333,4.100000,0.600000,3.833333,5.400000,4.366667,4.700000,6.166667,5.200000,0.600000,3.700000,5.200000,4.166667,0.300000,4.066667,3.633333,4.433333,0.000000
22000,5500,6.133333,3.033333,6.400000,7.300000,1.033333,1.633333,3.266667,4.466667,4.200000,0.566667,3.666667,9.766666,5.800000,3.700000,5.333333,4.200000,0.300000,3.900000,6.133333,4.433333,0.300000,7.733333,3.666667,3.100000,0.000000
